tipo,Nombre_de_la_Serie,valor,categoria
CDMX,2012/02,2,estado
CDMX,2012/03,19,estado
CDMX,2012/04,11,estado
CDMX,2012/05,3,estado
CDMX,2012/06,1,estado
CDMX,2012/07,4,estado
CDMX,2012/08,0,estado
CDMX,2012/09,1,estado
CDMX,2012/10,0,estado
CDMX,2012/11,0,estado
CDMX,2012/12,0,estado
CDMX,2013/01,0,estado
CDMX,2013/02,0,estado
CDMX,2013/03,0,estado
CDMX,2013/04,1,estado
CDMX,2013/05,3,estado
CDMX,2013/06,5,estado
CDMX,2013/07,3,estado
CDMX,2013/08,4,estado
CDMX,2013/09,2,estado
CDMX,2013/10,3,estado
CDMX,2013/11,1,estado
CDMX,2013/12,5,estado
CDMX,2014/01,0,estado
CDMX,2014/02,0,estado
CDMX,2014/03,0,estado
CDMX,2014/04,0,estado
CDMX,2014/05,0,estado
CDMX,2014/06,0,estado
CDMX,2014/07,0,estado
CDMX,2014/08,0,estado
CDMX,2014/09,0,estado
CDMX,2014/10,1,estado
CDMX,2014/11,1,estado
CDMX,2014/12,2,estado
CDMX,2015/01,0,estado
CDMX,2015/02,1,estado
CDMX,2015/03,2,estado
CDMX,2015/04,1,estado
CDMX,2015/05,2,estado
CDMX,2015/06,2,estado
CDMX,2015/07,0,estado
CDMX,2015/08,0,estado
CDMX,2015/09,0,estado
CDMX,2015/10,0,estado
CDMX,2015/11,0,estado
CDMX,2015/12,1,estado
CDMX,2016/01,0,estado
CDMX,2016/02,0,estado
CDMX,2016/03,0,estado
CDMX,2016/04,0,estado
CDMX,2016/05,0,estado
CDMX,2016/06,0,estado
CDMX,2016/07,0,estado
CDMX,2016/08,0,estado
CDMX,2016/09,0,estado
CDMX,2016/10,1,estado
CDMX,2016/11,1,estado
CDMX,2016/12,0,estado
CDMX,2017/01,0,estado
CDMX,2017/02,0,estado
CDMX,2017/03,0,estado
CDMX,2017/04,0,estado
CDMX,2017/05,0,estado
CDMX,2017/06,0,estado
CDMX,2017/07,0,estado
CDMX,2017/08,0,estado
CDMX,2017/09,0,estado
CDMX,2017/10,0,estado
CDMX,2017/11,0,estado
CDMX,2017/12,0,estado
CDMX,2018/01,0,estado
CDMX,2018/02,0,estado
CDMX,2018/03,0,estado
CDMX,2018/04,0,estado
CDMX,2018/05,0,estado
CDMX,2018/06,0,estado
CDMX,2018/07,0,estado
CDMX,2018/08,0,estado
CDMX,2018/09,0,estado
CDMX,2018/10,0,estado
CDMX,2018/11,0,estado
CDMX,2018/12,0,estado
CDMX,2019/01,0,estado
CDMX,2019/02,0,estado
CDMX,2019/03,0,estado
CDMX,2019/04,0,estado
CDMX,2019/05,0,estado
CDMX,2019/06,0,estado
CDMX,2019/07,0,estado
CDMX,2019/08,0,estado
CDMX,2019/09,0,estado
CDMX,2019/10,0,estado
CDMX,2019/11,0,estado
CDMX,2019/12,0,estado
CDMX,2020/01,0,estado
CDMX,2020/02,0,estado
CDMX,2020/03,0,estado
CDMX,2020/04,0,estado
CDMX,2020/05,0,estado
CDMX,2020/06,0,estado
CDMX,2020/07,0,estado
CDMX,2020/08,0,estado
CDMX,2020/09,0,estado
Campeche,2012/01,0,estado
Campeche,2012/02,73,estado
Campeche,2012/03,139,estado
Campeche,2012/04,18,estado
Campeche,2012/05,25,estado
