tipo,Nombre_de_la_Serie,valor,categoria
Campeche,2017/03,170,estado
Campeche,2017/04,150,estado
Campeche,2017/05,237,estado
Campeche,2017/06,286,estado
Campeche,2017/07,240,estado
Campeche,2017/08,286,estado
Campeche,2017/09,293,estado
Campeche,2017/10,322,estado
Campeche,2017/11,306,estado
Campeche,2017/12,394,estado
Campeche,2018/01,146,estado
Campeche,2018/02,265,estado
Campeche,2018/03,362,estado
Campeche,2018/04,250,estado
Campeche,2018/05,363,estado
Campeche,2018/06,345,estado
Campeche,2018/07,266,estado
Campeche,2018/08,304,estado
Campeche,2018/09,342,estado
Campeche,2018/10,402,estado
Campeche,2018/11,302,estado
Campeche,2018/12,372,estado
Campeche,2019/01,234,estado
Campeche,2019/02,493,estado
Campeche,2019/03,684,estado
Campeche,2019/04,440,estado
Campeche,2019/05,140,estado
Campeche,2019/06,169,estado
